"","Author","Title","Source","PubYear","DOI","Variety","Coder","Removed","Reason"
"98","LI J;ARNOLD HS;BESTE-GULDBORG A","REACTIONS OF PROTECTIVE SERVICE WORKERS TOWARDS PEOPLE WHO STUTTER","JOURNAL OF FLUENCY DISORDERS",2016,"10.1016/j.jfludis.2016.08.001","Kent","Caitlin",NA,NA
"99","PARRILL F;CABOT J;KENT H;CHEN A","DO PEOPLE GESTURE MORE WHEN INSTRUCTED TO?","GESTURE",2016,"10.1075/gest.15.3.05par","Kent","Caitlin",NA,NA
"100","TAN S;O'HALLORAN KL;WIGNELL P","MULTIMODAL RESEARCH: ADDRESSING THE COMPLEXITY OF MULTIMODAL ENVIRONMENTS AND THE CHALLENGES FOR CALL","RECALL",2016,"10.1017/S0958344016000124","Kent","Caitlin",NA,NA
"101","JOBY C","REGIONAL VARIATION IN EARLY MODERN ENGLISH: THE CASE OF THE THIRD-PERSON PRESENT TENSE SINGULAR VERB ENDING IN NORFOLK CORRESPONDENCE","JOURNAL OF ENGLISH LINGUISTICS",2017,"10.1177/0075424217723435","Suffolk","Caitlin",NA,NA
"102","KORMOS J;KIDDLE T","THE ROLE OF SOCIO-ECONOMIC FACTORS IN MOTIVATION TO LEARN ENGLISH AS A FOREIGN LANGUAGE: THE CASE OF CHILE","SYSTEM",2013,"10.1016/j.system.2013.03.006","Norfolk","Caitlin",NA,NA
"103","HYLAND K;JIANG FK","``IN THIS PAPER WE SUGGEST'': CHANGING PATTERNS OF DISCIPLINARY METADISCOURSE","ENGLISH FOR SPECIFIC PURPOSES",2018,"10.1016/j.esp.2018.02.001","Norfolk","Caitlin",NA,NA
"104","JARVIS LH;MERRIMAN WE","INPUT THAT CONTRADICTS YOUNG CHILDREN'S STRATEGY FOR MAPPING NOVEL WORDS AFFECTS THEIR PHONOLOGICAL AND SEMANTIC INTERPRETATION OF OTHER NOVEL WORDS","JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH",2004,"10.1044/1092-4388(2004/032)","Kent","Caitlin",NA,NA
"105","WICHMANN A","CORPORA AND SPOKEN DISCOURSE","CORPUS LINGUISTICS 25 YEARS ON",2007,NA,"Lancashire","Caitlin",NA,NA
"106","BUNTON K;KENT RD;KENT JF;ROSENBEK JC","PERCEPTUO-ACOUSTIC ASSESSMENT OF PROSODIC IMPAIRMENT IN DYSARTHRIA","CLINICAL LINGUISTICS \& PHONETICS",2000,"10.1080/026992000298922","Kent","Caitlin",NA,NA
"107","GNEVSHEVA K;BURKLE D","AGE ESTIMATION IN FOREIGN-ACCENTED SPEECH BY NATIVE AND NON-NATIVE SPEAKERS","LANGUAGE AND SPEECH",2020,"10.1177/0023830919827621","Lancashire","Caitlin",NA,NA
"108","KENT RD","IS A PARADIGM CHANGE NEEDED","JOURNAL OF PHONETICS",1986,"10.1016/S0095-4470(19)30600-X","Kent","Caitlin",NA,NA
"109","VORPERIAN HK;KENT RD","VOWEL ACOUSTIC SPACE DEVELOPMENT IN CHILDREN: A SYNTHESIS OF ACOUSTIC AND ANATOMIC DATA","JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH",2007,"10.1044/1092-4388(2007/104)","Kent","Caitlin",NA,NA
"110","KIM Y;KENT RD;WEISMER G","AN ACOUSTIC STUDY OF THE RELATIONSHIPS AMONG NEUROLOGIC DISEASE, DYSARTHRIA TYPE, AND SEVERITY OF DYSARTHRIA","JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH",2011,"10.1044/1092-4388(2010/10-0020)","Kent","Caitlin",NA,NA
"111","WEEKES BS;ROBINSON G","SEMANTIC ANEMIA WITHOUT SURFACE DYSLEXIA","APHASIOLOGY",1997,"10.1080/02687039708250457","Kent","Caitlin",NA,NA
"112","KENT RD;VORPERIAN HK","SPEECH IMPAIRMENT IN DOWN SYNDROME: A REVIEW","JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH",2013,"10.1044/1092-4388(2012/12-0148)","Kent","Caitlin",NA,NA
"113","MIANGAH TM;VULANOVIC R","THE AMBIGUITY OF THE RELATIONS BETWEEN GRAPHEMES AND PHONEMES IN THE PERSIAN ORTHOGRAPHIC SYSTEM","GLOTTOMETRICS",2021,NA,"Kent","Caitlin",NA,NA
"114","STEWART E","3D GIS AND `THE ROYALTIE OF SIGHT': RECREATING `PROSPECTS' AND `PERSPECTIVES' WITHIN AN ENGLISH DESIGNED LANDSCAPE C. 1550-1660","DIGITAL SCHOLARSHIP IN THE HUMANITIES",2019,"10.1093/llc/fqz043","Norfolk","Caitlin",NA,NA
"115","HUYCK JJ","COMPREHENSION OF DEGRADED SPEECH MATURES DURING ADOLESCENCE","JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH",2018,"10.1044/2018\_JSLHR-H-17-0252","Kent","Caitlin",NA,NA
"116","CARL M;KENT RD;LEVY ES;WHALEN DH","VOWEL ACOUSTICS AND SPEECH INTELLIGIBILITY IN YOUNG ADULTS WITH DOWN SYNDROME","JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH",2020,"10.1044/2019\_JSLHR-19-00204","Kent","Caitlin",NA,NA
"117","EDWARDS AD","SPEECH CODES AND SPEECH VARIANTS - SOCIAL-CLASS AND TASK DIFFERENCES IN CHILDRENS SPEECH","JOURNAL OF CHILD LANGUAGE",1976,"10.1017/S0305000900001471","Lancashire","Caitlin",NA,NA
"118","SCHMIDT AM;BEAMER J","ELECTROPALATOGRAPHY TREATMENT FOR TRAINING THAI SPEAKERS OF ENGLISH","CLINICAL LINGUISTICS \& PHONETICS",1998,"10.3109/02699209808985233","Kent","Caitlin",NA,NA
"119","LODGE K","ALLEGRO RULES IN COLLOQUIAL THAI - SOME THOUGHTS ON PROCESS PHONOLOGY","JOURNAL OF LINGUISTICS",1986,"10.1017/S0022226700010823","Norfolk","Caitlin",NA,NA
"120","KELLY F;ALEXANDER A;FORTH O;KENT J;AKESSON J","IDENTIFYING PERCEPTUALLY SIMILAR VOICES WITH A SPEAKER RECOGNITION SYSTEM USING AUTO-PHONETIC FEATURES","17TH ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION ASSOCIATION (INTERSPEECH 2016), VOLS 1-5: UNDERSTANDING SPEECH PROCESSING IN HUMANS AND MACHINES",2016,NA,"Kent","Caitlin",NA,NA
"121","MCALLISTER J;KINGSTON M","FINAL PART-WORD REPETITIONS IN SCHOOL-AGE CHILDREN: TWO CASE STUDIES","JOURNAL OF FLUENCY DISORDERS",2005,"10.1016/j.jfludis.2005.05.005","Norfolk","Caitlin",NA,NA
"122","HORTON S","A FRAMEWORK FOR DESCRIPTION AND ANALYSIS OF THERAPY FOR LANGUAGE IMPAIRMENT IN APHASIA","APHASIOLOGY",2006,"10.1080/02687030600590130","Norfolk","Caitlin",NA,NA
"123","KENT RD;ROUNTREY C","WHAT ACOUSTIC STUDIES TELL US ABOUT VOWELS IN DEVELOPING AND DISORDERED SPEECH","AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY",2020,"10.1044/2020\_AJSLP-19-00178","Kent","Caitlin",NA,NA
"124","FERGUSON NF;EVANS K;RAYMER AM","A COMPARISON OF INTENTION AND PANTOMIME GESTURE TREATMENT FOR NOUN RETRIEVAL IN PEOPLE WITH APHASIA","AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY",2012,"10.1044/1058-0360(2012/11-0076)","Norfolk","Caitlin",NA,NA
"125","SCHNEIDER SL;FRENS RA","TRAINING FOUR-SYLLABLE CV PATTERNS IN INDIVIDUALS WITH ACQUIRED APRAXIA OF SPEECH: THEORETICAL IMPLICATIONS","APHASIOLOGY",2005,"10.1080/02687030444000886","Kent","Caitlin",NA,NA
"126","POVOZHAEV L","METAPHOR AS EMOTIVE CHANGE: A TRIANGULATED APPROACH TO THOUGHT, LANGUAGE, AND EMOTION RELATABLE TO ARISTOTELIAN SENSATE PERCEPTION","RHETORIC REVIEW",2013,"10.1080/07350198.2013.739493","Kent","Caitlin",NA,NA
"127","ALLEN JE;CLUNIE GM;SLINGER C;HAINES J;MOSSEY-GASTON C;ZAGA CJ;SCOTT B;WALLACE S;GOVENDER R","UTILITY OF ULTRASOUND IN THE ASSESSMENT OF SWALLOWING AND LARYNGEAL FUNCTION: A RAPID REVIEW AND CRITICAL APPRAISAL OF THE LITERATURE","INTERNATIONAL JOURNAL OF LANGUAGE \& COMMUNICATION DISORDERS",2021,"10.1111/1460-6984.12584","Lancashire","Caitlin",NA,NA
"128","BEALES A;WHITWORTH A;CARTWRIGHT J","A REVIEW OF LEXICAL RETRIEVAL INTERVENTION IN PRIMARY PROGRESSIVE APHASIA AND ALZHEIMER'S DISEASE: MECHANISMS OF CHANGE, GENERALISATION, AND COGNITION","APHASIOLOGY",2018,"10.1080/02687038.2018.1491192","Kent","Caitlin",NA,NA
"129","GREGORY SW;GREEN BE;CARROTHERS RM;DAGAN KA;WEBSTER SW","VERIFYING THE PRIMACY OF VOICE FUNDAMENTAL FREQUENCY IN SOCIAL STATUS ACCOMMODATION","LANGUAGE \& COMMUNICATION",2001,"10.1016/S0271-5309(00)00011-2","Kent","Caitlin",NA,NA
"130","SCHAUSTEN M","``DA HOVET IR IUCH SELBEN MITE'': THE COURTLY ART OF HUNTING AND THE DISCOURSE OF COURT CRITICISM IN GOTTFRIED OF STRASSBURG'S TRISTAN","LILI-ZEITSCHRIFT FUR LITERATURWISSENSCHAFT UND LINGUISTIK",2011,NA,"Cornwall","Caitlin",NA,NA
"131","NAMASIVAYAM AK;PUKONEN M;GOSHULAK F;LE DJ;KROLL R;VAN LIESHOUT P","INVESTIGATING INTERVENTION DOSE FREQUENCY FOR CHILDREN WITH SPEECH SOUND DISORDERS AND MOTOR SPEECH INVOLVEMENT","INTERNATIONAL JOURNAL OF LANGUAGE \& COMMUNICATION DISORDERS",2019,"10.1111/1460-6984.12472","Kent","Caitlin",NA,NA
"132","ABBOT-SMITH K;IMAI M;DURRANT E","THE ROLE OF TIMING AND PROTOTYPICAL CAUSALITY ON HOW PRESCHOOLERS FAST-MAP NOVEL VERB MEANINGS","FIRST LANGUAGE",2017,"10.1177/0142723716679800","Kent","Caitlin",NA,NA
"133","DURRELL M","`VOM URGERMANISCHEN ZUM NEUHOCHDEUTSCHEN HISTORISCHE PHONOLOGIE' - PENZIL,H","MODERN LANGUAGE REVIEW",1977,"10.2307/3725484","Lancashire","Caitlin",NA,NA
"134","SHORROCKS G","A PHONEMIC AND PHONETIC KEY TO THE ORTHOGRAPHY OF THE LANCASHIRE DIALECT WRITER, STATON,JAMES,TAYLOR (1817-1875)","ZEITSCHRIFT FUR DIALEKTOLOGIE UND LINGUISTIK",1985,NA,"Lancashire","Caitlin",NA,NA
"135","MUSOLFF A","CROSS-CULTURAL VARIATION IN DELIBERATE METAPHOR INTERPRETATION","METAPHOR AND THE SOCIAL WORLD",2016,"10.1075/msw.6.2.02mus","Norfolk","Caitlin",NA,NA
"136","HIJAZO-GASCON A","TRANSLATING ACCURATELY OR SOUNDING NATURAL? THE INTERPRETERS' CHALLENGES DUE TO SEMANTIC TYPOLOGY AND THE INTERPRETING PROCESS","PRAGMATICS AND SOCIETY",2019,"10.1075/ps.00016.hij","Norfolk","Caitlin",NA,NA
"137","MILLIN JP","THERAPY FOR REDUCTION OF CONTINUOUS PHONATION IN HARD-OF-HEARING POPULATION","JOURNAL OF SPEECH AND HEARING DISORDERS",1971,"10.1044/jshd.3604.496","Kent","Caitlin",NA,NA
"138","HAMEYER K","DETERMINING THE LINGUISTIC VARIABLES OF INTERDIALECTAL INTELLIGIBILITY","LINGUA",1979,"10.1016/0024-3841(79)90044-5","Norfolk","Caitlin",NA,NA
"139","KENT DB","MOBILE ELT: EAST AND SOUTH OF THE RED SEA","ARAB WORLD ENGLISH JOURNAL",2015,NA,"Kent","Caitlin",NA,NA
"140","PRECHT K","GREAT VERSUS LOVELY: STANCE DIFFERENCES IN AMERICAN AND BRITISH ENGLISH","CORPUS ANALYSIS: LANGUAGE STRUCTURE AND LANGUAGE USE",2003,NA,"Kent","Caitlin",NA,NA
"141","JOFFE V;PRING T","CHILDREN WITH PHONOLOGICAL PROBLEMS: A SURVEY OF CLINICAL PRACTICE","INTERNATIONAL JOURNAL OF LANGUAGE \& COMMUNICATION DISORDERS",2008,"10.1080/13682820701660259","Tyneside","Caitlin",NA,NA
"142","HASLAM N;LOUGHNAN S;SUN P","BEASTLY: WHAT MAKES ANIMAL METAPHORS OFFENSIVE?","JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY",2011,"10.1177/0261927X11407168","Kent","Caitlin",NA,NA
"143","RADCLIFFUMSTEAD D","THE ITALIAN-AMERICAN CHILD - HIS SOCIOLINGUISTIC ACCULTURATION - BIONDI,L","AMERICAN SPEECH",1981,"10.2307/455129","Kent","Caitlin",NA,NA
"144","JANSEN S;ROBINSON JA;CAHILL L;LEEMANN A;BLAXTER T;BRITAIN D","SUSSEX BY THE SEA A DESCRIPTIVE ANALYSIS OF DIALECT VARIATION IN THE SOUTH EAST OF ENGLAND BASED ON ENGLISH DIALECT APP DATA","ENGLISH TODAY",2020,"10.1017/S0266078420000218","Kent","Caitlin",NA,NA
"145","HAWKS JW;FOURAKIS MS","THE PERCEPTUAL VOWEL SPACES OF AMERICAN ENGLISH AND MODERN GREEK: A COMPARISON","LANGUAGE AND SPEECH",1995,"10.1177/002383099503800302","Kent","Caitlin",NA,NA
"146","SCHMIDT AM","EFFECTS OF EPG TREATMENT FOR ENGLISH CONSONANT CONTRASTS ON L2 PERCEPTION AND PRODUCTION","CLINICAL LINGUISTICS \& PHONETICS",2012,"10.3109/02699206.2012.718036","Kent","Caitlin",NA,NA
"147","CHEN LM;KENT RD","SEGMENTAL PRODUCTION IN MANDARIN-LEARNING INFANTS","JOURNAL OF CHILD LANGUAGE",2010,"10.1017/S0305000909009581","Kent","Caitlin",NA,NA
"148","JACKSON E;LEITAO S;CLAESSEN M","THE RELATIONSHIP BETWEEN PHONOLOGICAL SHORT-TERM MEMORY, RECEPTIVE VOCABULARY, AND FAST MAPPING IN CHILDREN WITH SPECIFIC LANGUAGE IMPAIRMENT","INTERNATIONAL JOURNAL OF LANGUAGE \& COMMUNICATION DISORDERS",2016,"10.1111/1460-6984.12185","Kent","Caitlin",NA,NA
"149","MUSOLFF A","METAPHORICAL PARASITES AND ``PARASITIC'' METAPHORS SEMANTIC EXCHANGES BETWEEN POLITICAL AND SCIENTIFIC VOCABULARIES","JOURNAL OF LANGUAGE AND POLITICS",2014,"10.1075/jlp.13.2.02mus","Norfolk","Caitlin",NA,NA
"150","MERRIMAN WE","LEARNING THE MEANING OF CHANGE-OF-STATE VERBS: A CASE STUDY OF GERMAN CHILD LANGUAGE.","JOURNAL OF CHILD LANGUAGE",2003,"10.1017/S0305000903235935","Kent","Caitlin",NA,NA
"151","D'ELIA SC","SOURCES OF VARIATION IN FIRST LANGUAGE ACQUISITION: LANGUAGES, CONTEXTS, AND LEARNERS","FIRST LANGUAGE",2019,"10.1177/0142723719831104","Kent","Caitlin",NA,NA
"152","WILD A;VORPERIAN HK;KENT RD;BOLT DM;AUSTIN D","SINGLE-WORD SPEECH INTELLIGIBILITY IN CHILDREN AND ADULTS WITH DOWN SYNDROME","AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY",2018,"10.1044/2017\_AJSLP-17-0002","Kent","Caitlin",NA,NA
"153","PARKINSON RB;RAYMER A;CHANG DB;CROSSON B","LESION CHARACTERISTICS RELATED TO TREATMENT IMPROVEMENT IN OBJECT AND ACTION NAMING FOR PATIENTS WITH CHRONIC APHASIA","BRAIN AND LANGUAGE",2009,"10.1016/j.bandl.2009.05.005","Norfolk","Caitlin",NA,NA
"154","CAMILO CONDE-SILVESTRE J;DOLORES PEREZ-RAJA M","TRANSITIONAL AREAS AND SOCIAL HISTORY IN MIDDLE ENGLISH DIALECTOLOGY: THE CASE OF LINCOLNSHIRE","NEOPHILOLOGUS",2008,"10.1007/s11061-008-9106-z","Lincolnshire","Caitlin",NA,NA
"155","MAIN A;KELLY S;MANLEY G","INSTRUMENTAL ASSESSMENT AND TREATMENT OF HYPERNASALITY, FOLLOWING MAXILLOFACIAL SURGERY, USING SNORS: A SINGLE CASE STUDY","INTERNATIONAL JOURNAL OF LANGUAGE \& COMMUNICATION DISORDERS",1999,"10.1080/136828299247559","Kent","Caitlin",NA,NA
"156","GUO J","CRITICAL TOKENIZATION AND ITS PROPERTIES","COMPUTATIONAL LINGUISTICS",1997,NA,"Kent","Caitlin",NA,NA
"157","SUAREZ-GOMEZ C","ON THE SYNTACTIC DIFFERENCES BETWEEN OE DIALECTS: EVIDENCE FROM THE GOSPELS","ENGLISH LANGUAGE \& LINGUISTICS",2009,"10.1017/S1360674308002864","Northumbrian","Caitlin",NA,NA
"158","KASSTAN JR","LYONNAIS (FRANCOPROVENCAL)","JOURNAL OF THE INTERNATIONAL PHONETIC ASSOCIATION",2015,"10.1017/S0025100315000250","Kent","Caitlin",NA,NA
"159","BUCHSTALLER I","QUOTATIONS ACROSS THE GENERATIONS: A MULTIVARIATE ANALYSIS OF SPEECH AND THOUGHT INTRODUCERS ACROSS 5 DECADES OF TYNESIDE SPEECH","CORPUS LINGUISTICS AND LINGUISTIC THEORY",2011,"10.1515/CLLT.2011.004","Tyneside","Caitlin",NA,NA
"160","NEIMAN GS;APPLEGATE JA","ACCURACY OF LISTENER JUDGMENTS OF PERCEIVED AGE RELATIVE TO CHRONOLOGICAL AGE IN ADULTS","FOLIA PHONIATRICA",1990,"10.1159/000266090","Kent","Caitlin",NA,NA
"161","HALL NE;YAMASHITA TS;ARAM DM","RELATIONSHIP BETWEEN LANGUAGE AND FLUENCY IN CHILDREN WITH DEVELOPMENTAL LANGUAGE DISORDERS","JOURNAL OF SPEECH AND HEARING RESEARCH",1993,"10.1044/jshr.3603.568","Kent","Caitlin",NA,NA
"162","BOERS F;LINDSTROMBERG S;EYCKMANS J","SOME EXPLANATIONS FOR THE SLOW ACQUISITION OF L2 COLLOCATIONS","VIAL-VIGO INTERNATIONAL JOURNAL OF APPLIED LINGUISTICS",2014,NA,"Kent","Caitlin",NA,NA
"163","WANG XH;ZAHORIAN SA;AUBERG S","ANALYSIS OF SPEECH SEGMENTS USING VARIABLE SPECTRAL/TEMPORAL RESOLUTION","ICSLP 96 - FOURTH INTERNATIONAL CONFERENCE ON SPOKEN LANGUAGE PROCESSING, PROCEEDINGS, VOLS 1-4",1996,NA,"Norfolk","Caitlin",NA,NA
"164","RATHCKE TV;STUART-SMITH JH","ON THE TAIL OF THE SCOTTISH VOWEL LENGTH RULE IN GLASGOW","LANGUAGE AND SPEECH",2016,"10.1177/0023830915611428","Kent","Caitlin",NA,NA
"165","EDGINGTON M;LOWRY A","RESIDUAL-BASED SPEECH MODIFICATION ALGORITHMS FOR TEXT-TO-SPEECH SYNTHESIS","ICSLP 96 - FOURTH INTERNATIONAL CONFERENCE ON SPOKEN LANGUAGE PROCESSING, PROCEEDINGS, VOLS 1-4",1996,NA,"Suffolk","Caitlin",NA,NA
"166","SHUSTER LI;WAMBAUGH JL","PERCEPTUAL AND ACOUSTIC ANALYSES OF SPEECH SOUND ERRORS IN APRAXIA OF SPEECH ACCOMPANIED BY APHASIA","APHASIOLOGY",2000,"10.1080/026870300401360","Kent","Caitlin",NA,NA
"167","WANG YT;KENT RD;DUFFY JR;THOMAS JE","DYSARTHRIA ASSOCIATED WITH TRAUMATIC BRAIN INJURY: SPEAKING RATE AND EMPHATIC STRESS","JOURNAL OF COMMUNICATION DISORDERS",2005,"10.1016/j.jcomdis.2004.12.001","Kent","Caitlin",NA,NA
"168","HUYCK JJ;SMITH RH;HAWKINS IS","GENERALIZATION OF PERCEPTUAL LEARNING OF DEGRADED SPEECH ACROSS TALKERS","JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH",2017,"10.1044/2017\_JSLHR-H-16-0300","Kent","Caitlin",NA,NA
"169","CHILDS C;HARVEY C;CORRIGAN KP;TAGLIAMONTE S","TRANSATLANTIC PERSPECTIVES ON VARIATION IN NEGATIVE EXPRESSIONS","ENGLISH LANGUAGE \& LINGUISTICS",2020,"10.1017/S1360674318000199","Tyneside","Caitlin",NA,NA
"170","FINNIS K","CREATING A `NEW SPACE' CODE-SWITCHING AMONG BRITISH-BORN GREEK-CYPRIOTS IN LONDON","PRAGMATICS AND SOCIETY",2013,"10.1075/ps.4.2.02fin","Lancashire","Caitlin",NA,NA
"171","LEYDECKER K","`DIE SCHEIDESTUNDE IST DA': MAX HALBE'S MUTTER ERDE (1897) AND THE POLITICS OF MARRIAGE AND DIVORCE IN GERMAN NATURALIST DRAMA","FORUM FOR MODERN LANGUAGE STUDIES",2013,"10.1093/fmls/cqs064","Kent","Caitlin",NA,NA
"172","AYRE A;WRIGHT L","WASSP: AN INTERNATIONAL REVIEW OF ITS CLINICAL APPLICATION","INTERNATIONAL JOURNAL OF SPEECH-LANGUAGE PATHOLOGY",2009,"10.1080/17549500802616574","Cornwall","Caitlin",NA,NA
"173","GRENFELL-ESSAM R;WARD G;MACK CC","TEMPORAL ISOLATION EFFECTS IN IMMEDIATE RECALL","JOURNAL OF MEMORY AND LANGUAGE",2019,"10.1016/j.jml.2019.104049","Suffolk","Caitlin",NA,NA
"174","ZAREVA A","MULTI-WORD VERBS IN STUDENT ACADEMIC PRESENTATIONS","JOURNAL OF ENGLISH FOR ACADEMIC PURPOSES",2016,"10.1016/j.jeap.2016.07.001","Norfolk","Caitlin",NA,NA
"175","READ J;VELLDAL E;CAVAZZA M;GEORG G","A CORPUS OF CLINICAL PRACTICE GUIDELINES ANNOTATED WITH THE IMPORTANCE OF RECOMMENDATIONS","LREC 2016 - TENTH INTERNATIONAL CONFERENCE ON LANGUAGE RESOURCES AND EVALUATION",2016,NA,"Kent","Caitlin",NA,NA
"176","BARRY C;GERHAND S","BOTH CONCRETENESS AND AGE-OF-ACQUISITION AFFECT READING ACCURACY BUT ONLY CONCRETENESS AFFECTS COMPREHENSION IN A DEEP DYSLEXIC PATIENT","BRAIN AND LANGUAGE",2003,"10.1016/S0093-934X(02)00522-9","Kent","Caitlin",NA,NA
"177","KENT RD;OSBERGER MJ;NETSELL R;HUSTEDDE CG","PHONETIC DEVELOPMENT IN IDENTICAL-TWINS DIFFERING IN AUDITORY FUNCTION","JOURNAL OF SPEECH AND HEARING DISORDERS",1987,"10.1044/jshd.5201.64","Kent","Caitlin",NA,NA
"178","WILLIAMS CH","THE RECONQUEST OF MONTREAL - LANGUAGE POLICY AND SOCIAL-CHANGE IN A BILINGUAL CITY - LEVINE,MV","JOURNAL OF MULTILINGUAL AND MULTICULTURAL DEVELOPMENT",1991,NA,"Staffordshire","Caitlin",NA,NA
"179","PRECHT K","SEX SIMILARITIES AND DIFFERENCES IN STANCE IN INFORMAL AMERICAN CONVERSATION","JOURNAL OF SOCIOLINGUISTICS",2008,"10.1111/j.1467-9841.2008.00354.x","Kent","Caitlin",NA,NA
"180","SWANN C","THE LITERATURE OF CHANGE - STUDIES IN THE 19TH-CENTURY PROVINCIAL NOVEL - LUCAS,J","MODERN LANGUAGE REVIEW",1980,"10.2307/3726616","Staffordshire","Caitlin",NA,NA
"181","SCHWARTZ RG;LEONARD LB;FOLGER MK;WILCOX MJ","EARLY PHONOLOGICAL BEHAVIOR IN NORMAL-SPEAKING AND LANGUAGE DISORDERED CHILDREN - EVIDENCE FOR A SYNERGISTIC VIEW OF LINGUISTIC DISORDERS","JOURNAL OF SPEECH AND HEARING DISORDERS",1980,"10.1044/jshd.4503.357","Kent","Caitlin",NA,NA
"182","SEW JW","CULTURAL LITERACY IN CHINESE AND MALAY","WORD-JOURNAL OF THE INTERNATIONAL LINGUISTIC ASSOCIATION",2015,"10.1080/00437956.2015.1033175","Kent","Caitlin",NA,NA
"183","PALFREYMAN N","SIGN LANGUAGE VARIETIES OF INDONESIA A LINGUISTIC AND SOCIOLINGUISTIC INVESTIGATION","SIGN LANGUAGE \& LINGUISTICS",2017,"10.1075/sll.20.1.06pal","Lancashire","Caitlin",NA,NA
"184","MEDGYES P","THE (IR)RELEVANCE OF ACADEMIC RESEARCH FOR THE LANGUAGE TEACHER","ELT JOURNAL",2017,"10.1093/elt/ccx034","Kent","Caitlin",NA,NA
"185","MUSOLFF A","HOW (NOT?) TO QUOTE A PROVERB: THE ROLE OF FIGURATIVE QUOTATIONS AND ALLUSIONS IN POLITICAL DISCOURSE","JOURNAL OF PRAGMATICS",2020,"10.1016/j.pragma.2019.10.011","Norfolk","Caitlin",NA,NA
"186","BING J;RUHL C","IT'S ALL MY FAULT! THE PRAGMATICS OF RESPONSIBILITY STATEMENTS","JOURNAL OF PRAGMATICS",2008,"10.1016/j.pragma.2007.04.010","Norfolk","Caitlin",NA,NA
"187","FINNIS KA","VARIATION WITHIN A GREEK-CYPRIOT COMMUNITY OF PRACTICE IN LONDON: CODE-SWITCHING, GENDER, AND IDENTITY","LANGUAGE IN SOCIETY",2014,"10.1017/S0047404514000207","Lancashire","Caitlin",NA,NA
"188","HERMAN R;FORD K;THOMAS J;OYEBADE N;BENNETT D;DODD B","EVALUATION OF CORE VOCABULARY THERAPY FOR DEAF CHILDREN: FOUR TREATMENT CASE STUDIES","CHILD LANGUAGE TEACHING \& THERAPY",2015,"10.1177/0265659014561875","Kent","Caitlin",NA,NA
"189","BOASE-BEIER J","TRANSLATION AND THE REPRESENTATION OF THOUGHT: THE CASE OF HERTA MULLER","LANGUAGE AND LITERATURE",2014,"10.1177/0963947014536503","Norfolk","Caitlin",NA,NA
"190","JANKE V;BAILEY LR","EFFECTS OF DISCOURSE ON CONTROL","JOURNAL OF LINGUISTICS",2017,"10.1017/S0022226716000281","Kent","Caitlin",NA,NA
"191","LE X;LANCASHIRE I;HIRST G;JOKEL R","LONGITUDINAL DETECTION OF DEMENTIA THROUGH LEXICAL AND SYNTACTIC CHANGES IN WRITING: A CASE STUDY OF THREE BRITISH NOVELISTS","LITERARY AND LINGUISTIC COMPUTING",2011,"10.1093/llc/fqr013","Lancashire","Caitlin",NA,NA
"192","KENT RD;KENT JF;WEISMER G","WHAT DYSARTHRIAS CAN TELL US ABOUT THE NEURAL CONTROL OF SPEECH","JOURNAL OF PHONETICS",2000,"10.1006/jpho.2000.0122","Kent","Caitlin",NA,NA
"193","BARKANYI Z","THE ACQUISITION OF VOICING ASSIMILATION BY ADVANCED HUNGARIAN LEARNERS OF SPANISH","REVISTA ESPANOLA DE LINGUISTICA APLICADA",2018,"10.1075/resla.17016.bar","Kent","Caitlin",NA,NA
"194","SOMMERS RK;LOGSDON BS;WRIGHT JM","A REVIEW AND CRITICAL ANALYSIS OF TREATMENT RESEARCH RELATED TO ARTICULATION AND PHONOLOGICAL DISORDERS","JOURNAL OF COMMUNICATION DISORDERS",1992,"10.1016/0021-9924(92)90010-T","Kent","Caitlin",NA,NA
"195","JIANG FK;HYLAND K","PRESCRIPTION AND REALITY IN ADVANCED ACADEMIC WRITING","IBERICA",2020,NA,"Norfolk","Caitlin",NA,NA
"196","GOLDRICK M;FOLK JR;RAPP B","MRS. MALAPROP'S NEIGHBORHOOD: USING WORD ERRORS TO REVEAL NEIGHBORHOOD STRUCTURE","JOURNAL OF MEMORY AND LANGUAGE",2010,"10.1016/j.jml.2009.11.008","Kent","Caitlin",NA,NA
"197","TRONCOSO-RUIZ A;ELORDIETA G","PROSODIC ACCOMMODATION AND SALIENCE: THE NUCLEAR CONTOURS OF ANDALUSIAN SPANISH SPEAKERS IN ASTURIAS","LOQUENS",2017,"10.3989/loquens.2017.043","Kent","Caitlin",NA,NA
